Name,Price_usd,Price_kgs,Image,Specs,Description
Daewoo Matiz I Рестайлинг 0.8 ,$ 2 123,180 000 сом,https://im.mashina.kg/tachka/images//a/6/b/a6b21039760996d72b2eec581a703b15_1200x900.jpg,"['Год выпуска2003', 'Пробег168000 км', 'Кузовхэтчбек 5 дв.', 'Цвет бирюзовый', 'Двигатель0.8 л. /  бензин', 'Коробкамеханика', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']",продаю дейвоо Матиз в хорошем состоянии цена 180000 год 2003 спрайт цвет машина на ходу не вложений 0507019158 0552049697
Subaru Outback III 3.0 ,$ 6 500,551 200 сом,https://im.mashina.kg/tachka/images//b/d/9/bd9fbdc2990a5edc05c55dbc6d24e1f8_1200x900.jpg,"['Год выпуска2004', 'Пробег270000 км', 'Кузовуниверсал', 'Цвет бронза', 'Двигатель3.0 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульсправа', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочееналог уплачен, техосмотр пройден, вложений не требует']",хорошем состоянии   
Audi 200 II (C3) 2.2 ,$ 1 710,145 000 сом,https://im.mashina.kg/tachka/images//3/7/2/3722d0077dc4773f73f11ecbaf7bf890_1200x900.jpg,"['Год выпуска1991', 'Кузовуниверсал', 'Цвет бордовый', 'Двигатель2.2 л. /  бензин', 'Коробкамеханика', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']",1991 год.  объем 2.3 Полная панель 
Audi 80 IV (B3) 1.8 ,$ 1 533,130 000 сом,https://im.mashina.kg/tachka/images//8/7/e/87eb017be7692eddf49d7ed378fae66d_1200x900.jpg,"['Год выпуска1991', 'Кузовседан', 'Цвет красный', 'Двигатель1.8 л. /  бензин', 'Коробкамеханика', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']",МОНО
Mercedes-Benz C-класс I (W202) 180 1.8 ,$ 2 594,220 000 сом,https://im.mashina.kg/tachka/images//2/8/8/288c8f7a4b3a5fc64cc7342ea3be0876_1200x900.jpg,"['Год выпуска1996', 'Пробег213000 км', 'Кузовседан', 'Цвет хамелеон', 'Двигатель1.8 л. /  бензин', 'Коробкаавтомат', 'Приводзадний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']",Мерседес бенс сешка 1996г.1.8 обем левый руль простой матор автомат каробка ходовой матор каробка жакшы центр замок пульт. Балондору документери жакшы Ош шаарында 220 000сом.0507331010 обмен жок.пробег 213 000км
Volkswagen Bora 2.0 ,$ 3 900,330 720 сом,https://im.mashina.kg/tachka/images//c/2/9/c29edd40243ceff4538e79bdf842bc4e_1200x900.jpg,"['Год выпуска1999', 'Кузовседан', 'Цвет бронза', 'Двигатель2.0 л. /  бензин', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии']",Описание отсутствует
Audi A6 II (C5) 2.5 ,$ 2 600,220 480 сом,https://im.mashina.kg/tachka/images//2/6/f/26f6bad800de5534553bb8b8e286b15b_1200x900.jpg,"['Год выпуска2001', 'Кузовседан', 'Цвет зеленый', 'Двигатель2.5 л. /  дизель', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии']",Срочно срочно продам все вопросы по телефону
Toyota Ipsum I (M10) 2.0 ,$ 4 700,398 560 сом,https://im.mashina.kg/tachka/images//c/9/e/c9e903c8955e07b0048d0ab5546d2f49_1200x900.jpg,"['Год выпуска2001', 'Кузовминивэн', 'Цвет белый', 'Двигатель2.0 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульсправа', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']",продаю машину в очень хорошем состоянии с 2012 году один хозяин  на обмен  как у всех дороже  5000$  с май доплата ходовой часть  все сделано  мотор коробка в идеальном состоянии полный  привод  на новый  летний резина  сигнализации  автозавод два ключа  3 реяд сидений  все стекло  родные  
Toyota Sequoia I Рестайлинг 4.7 ,$ 14 500,1 229 600 сом,https://im.mashina.kg/tachka/images//a/7/b/a7bf7116a2f18f2c0091b8806aa048f2_1200x900.jpg,"['Год выпуска2007', 'Пробег188000 км', 'Кузоввнедорожник 5 дв.', 'Цвет черный', 'Двигатель4.7 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']","срочно срочно состояние идеальное ,американец родной пробег"
Toyota Camry V (XV30) 3.0 ,$ 8 100,686 880 сом,https://im.mashina.kg/tachka/images//a/5/c/a5c8c6a842897d0ee76565107e833933_1200x900.jpg,"['Год выпуска2004', 'Пробег265000 км', 'Кузовседан', 'Цвет золотистый', 'Двигатель3.0 л. /  бензин', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменобмен не предлагать', 'Наличиев наличии']",Описание отсутствует
Mercedes-Benz CL-класс III (C216) Рестайлинг 500 4.7 ,$ 32 000,2 713 600 сом,https://im.mashina.kg/tachka/images//8/4/4/8446d2d246edb758574871756b714e0c_1200x900.jpg,"['Год выпуска2011', 'Пробег85000 км', 'Кузовкупе', 'Цвет черный', 'Двигатель4.7 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии']",Описание отсутствует
Honda Fit I 1.3 ,$ 5 500,466 400 сом,https://im.mashina.kg/tachka/images//f/4/e/f4e0211faa9892bc244f2c99a69ea196_1200x900.jpg,"['Год выпуска2005', 'Пробег197000 км', 'Кузовхэтчбек 5 дв.', 'Цвет белый', 'Двигатель1.3 л. /  бензин', 'Коробкавариатор', 'Приводпередний', 'Рульсправа', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии', 'Прочеевложений не требует']",Описание отсутствует
Lexus LX II Рестайлинг 470 4.7 ,$ 16 800,1 424 640 сом,https://im.mashina.kg/tachka/images//2/1/4/21463eee38f8d7fc63fc27ccbcfed699_1200x900.jpg,"['Год выпуска2004', 'Пробег159000 км', 'Кузоввнедорожник 5 дв.', 'Цвет белый', 'Двигатель4.7 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочеевложений не требует', 'Гос номер470']",Продажа от собственника. В отличном техническом состоянии. Сертификат на гос.номер в наличии 
BMW 3 Серия V (E9x) 335i 3.0 ,$ 9 999,847 915 сом,https://im.mashina.kg/tachka/images//e/9/6/e966e0b50fb8986743f3d27b2367c03b_1200x900.jpg,"['Год выпуска2008', 'Пробег173000 км', 'Кузовкупе', 'Цвет белый', 'Двигатель3.0 л. /  бензин', 'Коробкаавтомат', 'Приводзадний', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочееналог уплачен, техосмотр пройден, вложений не требует', 'Гос номер08KG855AHV']",СРОЧНО НУЖЕН ТОЛЬКО НАЛИЧКОЙ 10000$  BMW 335i Твин-Турбо Максимальная комплектация Чип тюнинг коробки едет бодро Недавно сделал замену масла в коробке Мотор N54 Blow off Tial M3 обвес в круг Масло дорогое MOTUL 5w40 Новые Катушки Свечи от NGK Выхлоп прямая трасса Акустика LOGIC 7 Полностью M-пакет Диски 19 диаметра стоят Шины новые разной ширины Состояние идеальное Обслуживался в BAVARIA Все Фильтра новые
BMW 7 Серия V (F01/F02/F04) 750Li xDrive 4.4 ,$ 12 500,1 060 000 сом,https://im.mashina.kg/tachka/images//8/d/e/8ded2e0424d425340b14720994cb5c03_1200x900.jpg,"['Год выпуска2010', 'Пробег126000 км', 'Кузовседан', 'Цвет черный', 'Двигатель4.4 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']",Срочно! Срочно! Состояние идеальное!
Mercedes-Benz S-класс IV (W220) Рестайлинг 350 3.7 ,$ 10 500,890 400 сом,https://im.mashina.kg/tachka/images//3/d/d/3dd0abcf8af92d8530a062a78af9e764_1200x900.jpg,"['Год выпуска2005', 'Пробег175000 км', 'Кузовседан', 'Цвет синий', 'Двигатель3.7 л. /  бензин', 'Коробкаавтомат', 'Приводзадний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии', 'Прочеевложений не требует']",Продаю Mercedes-Benz W220 S350 Год 2005 Рестайлинг  Объём 3.7  Состояние исключительное! Один хозяин в КР  🇰🇬 Цена  10.500$   Тел 0558-74-44-45  Торг реальным покупателям
Porsche Cayenne II Рестайлинг (958) Diesel 3.0 ,$ 30 000,2 544 000 сом,https://im.mashina.kg/tachka/images//4/a/7/4a7509e74c4eafc7fab5b73ee4f24bb3_1200x900.jpg,"['Год выпуска2014', 'Пробег160000 км', 'Кузоввнедорожник 5 дв.', 'Цвет коричневый', 'Двигатель3.0 л. /  дизель', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Наличиев наличии', 'Прочеевложений не требует']",Описание отсутствует
Honda CR-V III 2.4 ,$ 10 500,890 400 сом,https://im.mashina.kg/tachka/images//6/2/3/6239393be9254c9eea2ee79ac5708d2e_1200x900.jpg,"['Год выпуска2008', 'Пробег121000 км', 'Кузоввнедорожник 5 дв.', 'Цвет голубой', 'Двигатель2.4 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочееналог уплачен, техосмотр пройден, вложений не требует']","Продаю Honda CR-V 2008г Американец  AWD Пробег родной 121000 миль Родные стёкла в круг Люк, кожаный салон с подогревами Летняя резина масло Машина в идеальном состоянии без вложений Мини торг у капота "
Toyota Camry IX (XV70) 2.5 ,$ 24 000,2 035 200 сом,https://im.mashina.kg/tachka/images//c/8/a/c8a7d772f505018012a82b5924770ba9_1200x900.jpg,"['Год выпуска2018', 'Пробег12500 км', 'Кузовседан', 'Цвет белый', 'Двигатель2.5 л. /  бензин', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочеевложений не требует', 'Гос номер01KG858ACZ']",Описание отсутствует
Lexus LX III 570 5.7 ,$ 34 000,2 883 200 сом,https://im.mashina.kg/tachka/images//7/6/c/76c0d08e4dafe26a964ef3979f9d65cf_1200x900.jpg,"['Год выпуска2011', 'Пробег123000 км', 'Кузоввнедорожник 5 дв.', 'Цвет черный', 'Двигатель5.7 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочееналог уплачен, вложений не требует', 'Гос номер01KG885AAL']",Имеется 3 ряд сидений
Lexus LX III Рестайлинг 570 5.7 ,$ 41 000,3 476 800 сом,https://im.mashina.kg/tachka/images//8/d/c/8dc01a17262f0ac15d31e71dfd296fd2_1200x900.jpg,"['Год выпуска2013', 'Пробег91000 км', 'Кузоввнедорожник 5 дв.', 'Цвет черный', 'Двигатель5.7 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Наличиев наличии', 'Прочееналог уплачен, вложений не требует']","Продаю LEXUS LX 570 Рестайлинг  год выпуска : 2013 Цвет : чёрный Объём : 5.7  Пробег : 90.000 км Комплектация : европеец на чёрном салоне,самая полная комплектация, полный электропакет, пневма подвеска,уровень жёсткости амортизаторов, 3 монитора,передние подогревы и обдувы сидений,подогревы задних сидений,подогрев руля,4-х зонный климат контроль,музыка MARK LEVINSON, дерево,ксенон,люк,холодильник, 4 камеры 360°,горный тормоз,русифицирован,антибликовые зеркала,все стёкла родные. Накладки F-Sport Машина в идеальном состоянии. Газа нет!!! Оформлена Вложений не требует. Юридически чистая. Цена: 41000$ . Тел. : 0700963963"
Hyundai Starex (H-1) II 2.5 ,$ 8 200,695 360 сом,https://im.mashina.kg/tachka/images//e/e/3/ee34860e530eb18eb478175277549583_1200x900.jpg,"['Год выпуска2010', 'Пробег270000 км', 'Кузовминивэн', 'Цвет серебристый', 'Двигатель2.5 л. /  дизель', 'Коробкамеханика', 'Приводзадний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Рассрочкаесть', 'Наличиев наличии', 'Прочеевложений не требует']",На обмен 8200 Наличка 7500 без вложений.
Lexus LX III 570 5.7 ,$ 24 500,2 077 600 сом,https://im.mashina.kg/tachka/images//a/c/7/ac72ab5b70b5d4c3354cd176d7a52403_1200x900.jpg,"['Год выпуска2008', 'Пробег193000 км', 'Кузоввнедорожник 5 дв.', 'Цвет серебристый', 'Двигатель5.7 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочееналог уплачен, техосмотр пройден, вложений не требует']","Продаю  Lexus LX 570 Европеец  Год 2008 Цвет Серебристый  Объём 5.7 Бензин ⛽️  Газом не травили  Серый кожаный салон с подогревами памятью сидений  АКПП змейка 6-ступка  Мульти руль,дерево руль,Люк  Монитор Камера заднего вида  Работает без нареканий,без ошибок на панели  Машина в хорошем Состояние  Все стикера на месте  Продажа от Собственника  Готов на любые проверки  Цена 24500$ торг по факту у капота  Все вопросы по тел:0704 110 110 "
Mercedes-Benz GL-класс II (X166) 500 4.7 ,$ 34 500,2 925 600 сом,https://im.mashina.kg/tachka/images//3/0/6/30605081be07626115b3044d92d99857_1200x900.jpg,"['Год выпуска2012', 'Пробег152000 км', 'Кузоввнедорожник 5 дв.', 'Цвет белый', 'Двигатель4.7 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии']",Описание отсутствует
BMW X5 III (F15) 35i 3.0 ,$ 31 000,2 628 800 сом,https://im.mashina.kg/tachka/images//2/2/c/22c3ecabea2b8c5670b9703b3230143a_1200x900.jpg,"['Год выпуска2014', 'Пробег1 км', 'Кузоввнедорожник 5 дв.', 'Цвет белый', 'Двигатель3.0 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочеесвежепригнан, налог уплачен, техосмотр пройден, вложений не требует']",Описание отсутствует
Toyota Ist I 1.3 ,$ 4 500,381 600 сом,https://im.mashina.kg/tachka/images//b/8/a/b8afbd780f56ec40f4c8d4d9161443b1_1200x900.jpg,"['Год выпуска2002', 'Кузовхэтчбек 5 дв.', 'Цвет белый', 'Двигатель1.3 л. /  бензин', 'Коробкаавтомат', 'Приводпередний', 'Рульсправа', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии']","Срочно Тайота Ист 2002-1,3 сост хорошая мотор коробка 👍 ходовка👍сделано шумоизоляция мини торг возле машине по тел не торг 0707569292"
Daewoo Nexia I Рестайлинг 1.5 ,$ 2 241,190 000 сом,https://im.mashina.kg/tachka/images//3/9/f/39f31c26d9cd52f68bc87b3ea8616118_1200x900.jpg,"['Год выпуска2011', 'Пробег206000 км', 'Кузовседан', 'Цвет серебристый', 'Двигатель1.5 л. /  бензин', 'Коробкамеханика', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии', 'Прочеевложений не требует']","Продаю Nexia-2  2011-г.в рестайлин 1,5-объем 8клапан простой мотор,комплектация полная: GLE серебристый код краскиGAN полный электро пакет  гидроусилитель руля центральный замок  коректор фар  сигнализация  салон чистый не пркуренный движок не дымит не троит  ходовку сделали  мини торг при ОСМОТРЕ только По документам без проблем я ХОЗЯИН по тех паспорту ,без штрафов ПДД. осмотр г.Бишкек,обмен и расрочки нет. "
Toyota 4Runner V 4.0 ,$ 28 500,2 416 800 сом,https://im.mashina.kg/tachka/images//3/2/1/32142e0a28441afddfe046077d5dceb2_1200x900.jpg,"['Год выпуска2010', 'Пробег145000 км', 'Кузоввнедорожник 5 дв.', 'Цвет серый', 'Двигатель4.0 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочеевложений не требует']","полная комплектация ""Лимитед"" чип двигателя ""Моренди"" диски и пороги ""TRD"" (оригинал) лифт подвески ""ARB"" эксклюзивный выхлоп акустика JBL новая зимняя резина по горам и бездорожью не каталась . возм. вар. с доплатой мне  "
Audi 80 V (B4) 2.0 ,$ 2 005,170 000 сом,https://im.mashina.kg/tachka/images//b/a/4/ba4ac54ae95ffead1eaa076c7508fec0_1200x900.jpg,"['Год выпуска1993', 'Кузовседан', 'Цвет белый', 'Двигатель2.0 л. /  бензин', 'Коробкамеханика', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии']",Описание отсутствует
Lexus LX III 570 5.7 ,$ 30 500,2 586 400 сом,https://im.mashina.kg/tachka/images//9/a/f/9af88deef445432098ae09a83605a3de_1200x900.jpg,"['Год выпуска2008', 'Пробег205000 км', 'Кузоввнедорожник 5 дв.', 'Цвет черный', 'Двигатель5.7 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочееналог уплачен, вложений не требует']","Lexus LX 570  Американец  Пригнан в 2014 году из США (сухой штат) 1 хозяин с момента прибытия  Чистый Карфакс Кузов в родной краске, стекла все родные, в ДТП не участвовал Все стикера на местах Переделан под рестайлинг 2013 м.г., все запчасти в оригинале полная шумоизоляция 3 ряда сидений новая резина стоит новое ГБО торг в пределах разумного"
Honda Accord VI 2.0 ,$ 2 948,250 000 сом,https://im.mashina.kg/tachka/images//1/a/c/1aca66771de864c2f5fb7a6f30f6f2a6_1200x900.jpg,"['Год выпуска1997', 'Пробег760000 км', 'Кузовседан', 'Цвет серебристый', 'Двигатель2.0 л. /  бензин', 'Коробкамеханика', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии', 'Прочееналог уплачен, техосмотр пройден']",срочно срочно очень срочно
Toyota Camry V (XV30) 2.4 ,$ 9 500,805 600 сом,https://im.mashina.kg/tachka/images//7/3/a/73a3a97f5aca7475a9dba1f0c7510910_1200x900.jpg,"['Год выпуска2004', 'Пробег211000 км', 'Кузовседан', 'Цвет серебристый', 'Двигатель2.4 л. /  бензин', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменобмен не предлагать', 'Наличиев наличии']","Продаю Toyota Camry 35 2004г.в.автомат Подогрев передних сидений. Все стикера присутствуют Стекла родные! Состояние коробка 5+,ходовка 5+ Мотор 5+ Чистый салон. Очень резвая! Прошу 9500$ Тел:0779000015 "
Mercedes-Benz C-класс II (W203) 200 2.0 ,$ 5 500,466 400 сом,https://im.mashina.kg/tachka/images//f/b/8/fb8f72e7228db3f86841fcc191017b60_1200x900.jpg,"['Год выпуска2000', 'Кузовседан', 'Цвет серебристый', 'Двигатель2.0 л. /  бензин', 'Коробкаавтомат', 'Приводзадний', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочееналог уплачен, техосмотр пройден, вложений не требует']",Описание отсутствует
Toyota Camry VII (XV50) 2.5 ,$ 12 000,1 017 600 сом,https://im.mashina.kg/tachka/images//3/b/5/3b58d4a24e15aa746298dd59b8c56d43_1200x900.jpg,"['Год выпуска2013', 'Кузовседан', 'Цвет белый', 'Двигатель2.5 л. /  бензин', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочееналог уплачен, техосмотр пройден, вложений не требует']",ГИБРИД !!!
Mazda 626 V (GF) 2.0 ,$ 2 005,170 000 сом,https://im.mashina.kg/tachka/images//b/b/9/bb96a7c46f90da558d0202a3dbf6fbe2_1200x900.jpg,"['Год выпуска2000', 'Пробег385266 км', 'Кузовхэтчбек 5 дв.', 'Цвет серебристый', 'Двигатель2.0 л. /  бензин', 'Коробкамеханика', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']","Мазда 626 2000 2.0 механика  Мотор коробка ходовая часть идеально  Вложения тока по кузову , на фото все наглядно видно  Обмен есть и торг миним "
Lexus RX I 300 3.0 ,$ 6 500,551 200 сом,https://im.mashina.kg/tachka/images//8/6/9/86940c38e20f12a8042830f011924db1_1200x900.jpg,"['Год выпуска2002', 'Пробег157000 км', 'Кузоввнедорожник 5 дв.', 'Цвет бронза', 'Двигатель3.0 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульсправа', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочееналог уплачен, вложений не требует']",СРОЧНО!!!! СРОЧНО!!!! СРОЧНО!!!! Рассмотрю варианты с доплатой мне!
Honda CR-V II 2.0 ,$ 6 500,551 200 сом,https://im.mashina.kg/tachka/images//a/5/f/a5f7f181d4abd3378e1a626bd75880d3_1200x900.jpg,"['Год выпуска2003', 'Пробег125000 км', 'Кузоввнедорожник 5 дв.', 'Цвет синий', 'Двигатель2.0 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульсправа', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочееналог уплачен']",Срочно!!! Срочно!!! Срочно!!!
Toyota Camry V (XV30) 2.4 ,$ 7 400,627 520 сом,https://im.mashina.kg/tachka/images//4/a/5/4a5a8ae836113d15ed536814b0dd6a17_1200x900.jpg,"['Год выпуска2003', 'Кузовседан', 'Цвет серебристый', 'Двигатель2.4 л. /  бензин', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменобмен не предлагать', 'Наличиев наличии']",СРОЧНО ПРОДАЮ  TOYOTA CAMRY (30) 2003.ГОД 2.4ОБЪЕМ  В ИДИАЛЬНОМ СОСТОЯНИИ ВЛОЖЕНИЙ НЕ ТРЕБУЕТ  АМЕРИКАНЕЦ НЕ БИТЫЙ ВСЕ СТИКЕРЫ НА МЕСТЕ РОДНАЯ КРАСКА КПП.И МОТОР ИДИАЛЬНОЕ ЮРИДИЧЕСКИ ЧИСТАЯ РЕАЛЬНОМУ ПОКУПАТЕЛЮ УСТУПЛЮ ТОРГ У КАПОТА. 
Honda Stream I 2.0 ,$ 3 999,339 115 сом,https://im.mashina.kg/tachka/images//5/6/a/56a7763ba1048bf3b875cce275a7f788_1200x900.jpg,"['Год выпуска2000', 'Кузовминивэн', 'Цвет золотистый', 'Двигатель2.0 л. /  бензин', 'Коробкаавтомат', 'Приводпередний', 'Рульсправа', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']",Описание отсутствует
Hyundai Sonata VI (YF) 2.0 ,$ 7 900,669 920 сом,https://im.mashina.kg/tachka/images//e/a/5/ea567e8876a74c5faf72e58997f62427_1200x900.jpg,"['Год выпуска2014', 'Пробег155000 км', 'Кузовседан', 'Цвет серебристый', 'Двигатель2.0 л. /  газ', 'Коробкаавтомат', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменобмен не предлагать', 'Наличиев наличии', 'Прочеесвежепригнан, налог уплачен, техосмотр пройден, вложений не требует']","Продаю  Hyundai  sonata  год 2014 (ноябрь) обьем 2.0 (газ) 5 поколение (с завода) расход 12л город,трасса 10л коробка:  автомат электропакет,подогрев передних сидений,боковые и задние камеры заднего вида машина оформлена (на кыргызских номерах) Юридический чистый свежие масла,фильтра новые,новые форсунки новая летняя жирная резина,свечи,аккумулятор,фильтра(тонкой и грубой очистки) и.т.д  все запчасти на месте!   "
Nissan Primera I (P10) 2.0 ,$ 1 769,150 000 сом,https://im.mashina.kg/tachka/images//0/a/1/0a1bde1449f8039c41d7e6b26880eb77_1200x900.jpg,"['Год выпуска1994', 'Пробег52 км', 'Кузовуниверсал', 'Цвет синий', 'Двигатель2.0 л. /  дизель', 'Коробкамеханика', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']",прочно срочно срочно 
"Mercedes-Benz E-класс II (W210, S210) Рестайлинг 430 4.3 ",$ 10 800,915 840 сом,https://im.mashina.kg/tachka/images//8/e/7/8e76e454ada5daee8905b6cc46b182c3_1200x900.jpg,"['Год выпуска2000', 'Пробег123000 км', 'Кузовседан', 'Цвет белый', 'Двигатель4.3 л. /  бензин', 'Коробкаавтомат', 'Приводзадний', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Обменобмен не предлагать', 'Наличиев наличии']","Продаётся Mercedes-Bens W210 🇯🇵: 2000 год, объём 4.3, цвет белый, на кырг номерах, монитор, Камера заднего вида, потолок алькантара, установлена шумовиброизоляция премиум класса, диски r17 на летней резине. Состояние идеальное, все стёкла родные. Цена 10800$ торг после осмотра автомобиля. Номер телефона: 0505122666 (вацап)"
Volkswagen Passat B5 1.8 ,$ 2 241,190 000 сом,https://im.mashina.kg/tachka/images//a/5/4/a54b52281b0569af05760e732d5daecd_1200x900.jpg,"['Год выпуска1999', 'Пробег286863 км', 'Кузовуниверсал', 'Цвет зеленый', 'Двигатель1.8 л. /  бензин', 'Коробкамеханика', 'Приводпередний', 'Рульслева', 'Состояниехорошее', 'Таможняне растаможен', 'Обменрассмотрю варианты', 'Наличиев наличии', 'Прочееналог уплачен']",Описание отсутствует
Honda Odyssey II 3.0 ,$ 5 200,440 960 сом,https://im.mashina.kg/tachka/images//b/2/8/b2844164e215f35f2755d3a6dc704811_1200x900.jpg,"['Год выпуска2000', 'Пробег123456 км', 'Кузовминивэн', 'Цвет белый', 'Двигатель3.0 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниехорошее', 'Таможнярастаможен', 'Наличиев наличии']",Срочно продаю Хонда одиссей 2000гв  Престиж
ВАЗ (Lada) 2107 2107 1.5 ,$ 943,80 000 сом,https://im.mashina.kg/tachka/images//3/8/4/3841faf70c50354f08d852fd1eafc45a_1200x900.jpg,"['Год выпуска2005', 'Кузовседан', 'Цвет вишня', 'Двигатель1.5 л. /  бензин', 'Коробкамеханика', 'Приводзадний', 'Рульслева', 'Состояниехорошее', 'Таможняне растаможен', 'Обменрассмотрю варианты', 'Наличиев наличии']",мал койго да обмен кылабыз
Lexus LX III 570 5.7 ,$ 28 900,2 450 720 сом,https://im.mashina.kg/tachka/images//8/5/c/85cce09d5ed5fcd5f607a2d098fb2a36_1200x900.jpg,"['Год выпуска2010', 'Пробег207000 км', 'Кузоввнедорожник 5 дв.', 'Цвет черный', 'Двигатель5.7 л. /  бензин', 'Коробкаавтомат', 'Приводполный', 'Рульслева', 'Состояниеидеальное', 'Таможнярастаможен', 'Наличиев наличии']",Описание отсутствует
